datetime,s1_q50_b1r1,s2_q50_b1r1,s3_q50_b1r1,s1_q10_b1r1,s2_q10_b1r1,s3_q10_b1r1,s1_q90_b1r1,s2_q90_b1r1,s3_q90_b1r1
2023-01-25 11:15,30.69,22.63,297.23,0.0,0.0,0.1,246.14,237.49,1829.98
2023-01-25 11:30,39.53,27.91,303.39,0.0,0.0,0.1,261.46,245.68,1873.18
2023-01-25 11:45,52.45,36.25,304.28,0.0,0.0,0.1,286.33,260.11,1877.59
2023-01-25 12:00,68.15,47.27,305.19,0.0,0.0,0.1,310.51,272.67,1904.06
2023-01-25 12:15,78.98,59.42,301.81,0.0,0.0,0.1,382.42,327.55,1923.14
2023-01-25 12:30,90.09,74.73,301.13,0.48,0.48,0.1,392.15,341.15,1872.3
2023-01-25 12:45,106.42,95.51,297.95,1.23,1.23,0.1,409.1,369.11,1913.92
2023-01-25 13:00,128.34,116.55,291.9,3.4,3.4,0.1,431.15,392.03,1918.64
2023-01-25 13:15,146.6,130.23,292.19,6.25,7.02,0.1,448.56,407.69,1933.22
2023-01-25 13:30,164.87,145.43,299.38,14.27,16.02,0.1,466.22,423.16,1926.16
2023-01-25 13:45,182.44,162.48,303.39,19.43,23.23,0.1,483.84,440.7,1946.02
2023-01-25 14:00,199.11,182.43,301.68,27.08,33.85,0.1,500.6,459.53,1918.27
2023-01-25 14:15,214.85,205.27,306.35,33.21,43.36,0.1,515.98,482.49,1901.15
2023-01-25 14:30,233.16,234.75,311.05,37.24,52.95,1.06,532.46,523.45,1896.42
2023-01-25 14:45,257.94,256.33,307.68,45.96,64.05,1.23,556.0,555.84,1889.04
2023-01-25 15:00,288.13,267.28,310.69,49.5,69.21,1.4,616.7,578.55,1924.21
2023-01-25 15:15,309.26,285.77,317.55,68.4,72.39,3.59,592.98,729.39,1935.39
2023-01-25 15:30,341.95,317.42,326.92,80.37,82.77,3.61,633.42,750.25,2026.44
2023-01-25 15:45,361.91,334.22,339.07,85.79,86.65,3.48,663.7,765.42,2032.16
2023-01-25 16:00,367.67,337.94,346.17,85.86,85.57,1.43,639.28,778.46,2037.24
2023-01-25 16:15,358.82,336.13,350.67,80.08,82.45,1.41,619.15,775.47,2069.26
2023-01-25 16:30,353.89,338.51,355.2,87.46,92.19,1.44,610.67,772.79,2078.85
2023-01-25 16:45,357.9,347.87,359.77,86.37,92.29,1.48,617.37,771.78,2072.53
2023-01-25 17:00,370.54,360.87,364.37,87.11,92.44,1.46,634.49,779.4,2077.21
2023-01-25 17:15,391.88,386.65,357.03,97.22,102.42,1.43,646.23,810.3,2068.29
2023-01-25 17:30,402.1,430.86,362.4,100.7,115.17,1.4,677.04,858.21,2083.45
2023-01-25 17:45,411.32,464.03,367.33,93.07,114.8,1.3800000000000001,696.57,887.44,2097.69
2023-01-25 18:00,447.21,477.16,372.62,99.81,113.35,1.46,748.94,924.65,2092.14
2023-01-25 18:15,497.69,494.56,391.68,152.91,119.37,3.68,827.45,1111.17,2101.07
2023-01-25 18:30,537.79,521.75,402.76,189.96,151.99,4.22,861.0,1134.99,2084.3
2023-01-25 18:45,577.22,575.56,416.94,228.59,189.11,4.39,917.99,1191.96,2112.73
2023-01-25 19:00,621.19,649.96,427.09,247.03,231.6,4.26,977.89,1257.26,2107.38
2023-01-25 19:15,654.7,700.16,419.86,260.07,270.21,4.46,1011.26,1289.22,2116.9
2023-01-25 19:30,698.03,735.02,415.88,281.95,286.7,4.64,1064.64,1331.76,2129.38
2023-01-25 19:45,739.24,774.28,409.04,315.98,307.45,7.06,1092.34,1353.58,2125.99
2023-01-25 20:00,770.96,824.96,401.99,331.55,325.84,7.97,1148.61,1411.74,2140.03
2023-01-25 20:15,810.78,876.37,428.72,343.36,366.66,7.26,1211.49,1472.9,2132.29
2023-01-25 20:30,854.8,929.09,438.93,357.62,395.3,7.21,1257.9,1514.62,2129.4
2023-01-25 20:45,899.42,979.35,424.66,370.93,404.46,7.32,1306.1,1558.05,2129.01
2023-01-25 21:00,944.7,1000.7,403.04,381.92,421.16,4.55,1376.94,1610.09,2136.0
2023-01-25 21:15,1054.87,1087.29,393.69,388.53,395.11,4.09,1548.25,1667.74,2134.21
2023-01-25 21:30,1157.73,1209.7,395.39,453.96,429.48,3.67,1618.85,1732.76,2132.3
2023-01-25 21:45,1244.44,1386.93,402.76,506.4,560.4,1.47,1682.84,1819.5,2132.03
2023-01-25 22:00,1347.27,1536.62,411.17,538.38,608.96,1.3800000000000001,1751.93,1882.62,2138.12
2023-01-25 22:15,1477.97,1591.74,432.07,599.22,613.58,1.42,1837.47,1907.91,2145.85
2023-01-25 22:30,1681.65,1631.17,451.62,770.25,656.35,1.41,1946.23,1924.69,2156.9
2023-01-25 22:45,1731.19,1671.95,472.98,798.4,677.44,1.43,1972.55,1943.81,2166.88
2023-01-25 23:00,1203.09,1470.89,1279.06,395.19,786.3,245.2,1457.01,1703.85,2166.88
2023-01-25 23:15,1218.04,1421.92,1305.79,397.64,791.85,248.51,1466.53,1648.08,2166.88
2023-01-25 23:30,1285.3,1392.67,1341.12,500.88,796.69,254.68,1513.13,1635.82,2166.88
2023-01-25 23:45,1343.36,1372.54,1417.47,526.57,725.67,261.09,1571.0,1641.89,2166.88
2023-01-26 00:00,1432.14,1383.59,1496.62,719.71,672.86,267.68,1635.6,1658.79,2166.88
2023-01-26 00:15,1546.82,1503.35,1481.23,922.87,707.11,284.22,1733.17,1715.49,2166.88
2023-01-26 00:30,1598.43,1662.43,1465.94,983.41,900.36,300.77,1778.76,1825.89,2166.88
2023-01-26 00:45,1649.32,1799.56,1450.76,951.01,1039.44,323.34,1835.28,1920.52,2166.88
2023-01-26 01:00,1688.55,1857.94,1435.73,932.7,1085.75,325.95,1873.62,1995.14,2166.88
2023-01-26 01:15,1778.34,1930.01,1449.11,1026.53,1163.56,328.16,1938.15,2041.76,2166.88
2023-01-26 01:30,1847.11,1984.37,1480.89,1097.66,1209.01,316.71,1988.39,2075.8,2166.88
2023-01-26 01:45,1892.7,2031.15,1508.28,1120.75,1243.83,305.51,2026.6,2105.47,2166.88
2023-01-26 02:00,1938.49,2065.42,1571.38,1183.43,1262.1,291.97,2060.67,2134.63,2166.88
2023-01-26 02:15,1969.27,2066.63,1586.4,1232.05,1259.49,278.24,2079.93,2134.91,2166.88
2023-01-26 02:30,2006.63,2074.57,1601.52,1278.64,1264.39,267.99,2105.4,2137.55,2166.88
2023-01-26 02:45,2057.47,2073.11,1633.93,1344.4,1262.15,257.97,2138.51,2135.9,2166.88
2023-01-26 03:00,2071.09,2071.42,1654.5,1357.46,1267.83,248.19,2147.89,2130.92,2166.88
2023-01-26 03:15,2071.25,2062.78,1628.72,1358.03,1324.89,238.64,2166.36,2126.32,2166.88
2023-01-26 03:30,2064.29,2059.46,1654.67,1350.96,1319.15,229.32,2166.09,2124.38,2166.88
2023-01-26 03:45,2051.44,2045.77,1632.76,1343.42,1311.58,237.25,2158.77,2120.51,2166.88
2023-01-26 04:00,2040.53,2039.13,1604.18,1332.59,1302.19,262.67,2151.67,2118.21,2166.88
2023-01-26 04:15,2017.85,2018.48,1603.15,1322.85,1292.69,254.2,2142.73,2115.23,2166.88
2023-01-26 04:30,1993.0,1986.6,1633.07,1303.05,1269.09,251.68,2126.9,2080.53,2166.88
2023-01-26 04:45,1977.14,1971.26,1628.25,1294.81,1260.3,259.55,2121.36,2072.15,2166.88
2023-01-26 05:00,1945.47,1940.15,1680.11,1274.67,1239.47,275.39,2099.95,2057.64,2166.88
2023-01-26 05:15,1925.1,1918.55,1745.73,1255.5,1219.25,289.13,2082.63,2045.64,2166.88
2023-01-26 05:30,1898.08,1890.59,1779.67,1236.39,1199.14,303.29,2059.29,2024.44,2166.88
2023-01-26 05:45,1872.31,1866.0,1830.15,1218.21,1180.65,321.23,2037.7,1977.45,2166.88
